"Name","SES","MaxVac","WVH","h","continent","Strat"
"Brazil, MA","L",0.727413277952137,24.004137274351,3.19438039887092,"South America",1
"Brazil, MS","H",0.934888239263064,21.1062475783692,3.0344991728782,"South America",1
"Brazil, MS","L",0.842377497277336,21.1655301034107,3.24959416814138,"South America",1
"Brazil, MT","H",0.923778383333702,24.164549269346,3.52712576303347,"South America",1
"Brazil, MT","L",0.818705839191214,25.1006491155283,3.70486885114212,"South America",1
"Brazil, PA","H",0.771245037843435,27.1567700888852,3.1811173855145,"South America",1
"Brazil, PA","L",0.796413055356141,26.1082261433889,3.52634235804978,"South America",1
"Brazil, PB","H",1,24.9370560944868,2.44600368864339,"South America",2
"Brazil, PB","L",0.951141002605643,24.8117434448425,2.80035012927305,"South America",1
"Brazil, PE","H",0.936920630732891,23.6766290158864,3.14164749200579,"South America",1
"Brazil, PE","L",0.921993976917816,26.8177514408754,3.24374949296902,"South America",1
"Brazil, PI","H",1,25.7498090381679,2.89535533704358,"South America",1
"Brazil, PI","L",0.988640740649978,28.5955376578679,2.89158440340646,"South America",1
"Brazil, PR","H",1,21.2496593779506,2.81359950207881,"South America",1
"Brazil, PR","L",0.933436882215657,23.7222076163614,3.14924862053025,"South America",1
"Brazil, RJ","H",0.985002467298344,23.0934236104965,2.84352230493253,"South America",1
"Brazil, RJ","L",0.877035793447931,25.5897773775806,2.74347634219779,"South America",1
"Brazil, RO","H",0.900373468912501,23.2704954431905,3.43368405983562,"South America",1
"Brazil, RO","L",0.796088585611964,24.5380490012709,3.71457833237642,"South America",1
"Brazil, RS","H",1,19.6845850278903,2.48593700547516,"South America",2
"Brazil, RS","L",0.934510793450121,22.5992220804616,2.68845100516431,"South America",1
"Brazil, SC","H",1,20.5146970677163,3.47349304034865,"South America",1
"Brazil, SC","L",0.968278666661825,25.2056293880138,3.28625744328817,"South America",1
"Brazil, SP","H",0.746217918310827,21.7698723230725,2.85026007772544,"South America",1
"Brazil, SP","L",0.641267227163484,23.7560181272643,3.67112873714515,"South America",1
"Brazil, TO","H",0.865719654658459,25.2366366347198,3.07463851969093,"South America",1
"Brazil, TO","L",0.777256917286645,24.7479898926825,3.65272436324685,"South America",1
"Kazakhstan","H",0.607625335637977,14.3807864442722,1.90742882726491,"Asia",2
"Kazakhstan","L",0.471111702442249,13.9407441384791,1.88643612422685,"Asia",2
"Czech Republic","H",0.695481884784763,20.1102053913533,3.58366067524092,"Europe",1
"Czech Republic","L",0.579597484590794,19.0622444999552,3.74468931365987,"Europe",1
"India","H",0.927943041516793,23.4177769981703,2.83287657580757,"Asia",1
"India","L",0.783293546759598,32.0594112027155,2.54132118219098,"Asia",1
"Norway","H",0.875086389604734,23.2687885519229,3.30318913695478,"Europe",1
"Norway","L",0.682714925284171,22.3193137779875,3.29488463568237,"Europe",1
