Name,week,H,L,type
Italy,69,0.830905205397395,0.842342370805797,predicted
Italy,70,0.8319904244564302,0.8432022408634884,predicted
Italy,71,0.8330185170634358,0.8440119919596929,predicted
Italy,72,0.8339931350357477,0.8447751231271101,predicted
Italy,73,0.834917659052979,0.8454948518125245,predicted
"Brazil, AC",0,0.0335719712661998,0.0118226140637455,observed
"Brazil, AC",1,0.0411546306157722,0.017958017785512603,observed
"Brazil, AC",2,0.0507411044955647,0.0209013903768955,observed
"Brazil, AC",3,0.0589924875022774,0.0234428667886962,observed
"Brazil, AC",4,0.06412933832519059,0.028074586801415,observed
"Brazil, AC",5,0.0721194673444727,0.0389399719995306,observed
"Brazil, AC",6,0.08171088012683621,0.0445528194183967,observed
"Brazil, AC",7,0.08708939952975159,0.0503844367643734,observed
"Brazil, AC",8,0.0992707703491838,0.060638242398768104,observed
"Brazil, AC",9,0.11748912650278401,0.07490696506806349,observed
"Brazil, AC",10,0.134874016647139,0.0852703889316785,observed
"Brazil, AC",11,0.146047783716482,0.09395907874352259,observed
"Brazil, AC",12,0.15166721779484602,0.100167869210114,observed
"Brazil, AC",13,0.161968878679798,0.10446449904523501,observed
"Brazil, AC",14,0.172545137206432,0.11813101454111001,observed
"Brazil, AC",15,0.184627322597649,0.134765747694432,observed
"Brazil, AC",16,0.196041257208806,0.148498381056457,observed
"Brazil, AC",17,0.209065164500565,0.15865754021897702,observed
"Brazil, AC",18,0.219107094687506,0.16916701426233,observed
"Brazil, AC",19,0.237677809552828,0.188191494322218,observed
"Brazil, AC",20,0.271509950414253,0.240733722755268,observed
"Brazil, AC",21,0.320349554735736,0.289135364169821,observed
"Brazil, AC",22,0.34822134711671304,0.321634790684489,observed
"Brazil, AC",23,0.39189122983487,0.350909121218122,observed
"Brazil, AC",24,0.414717301803524,0.376568943219624,observed
"Brazil, AC",25,0.44663558220779104,0.41182865073811004,observed
"Brazil, AC",26,0.472439887329995,0.44666016397999203,observed
"Brazil, AC",27,0.48914609462008696,0.467816465615278,observed
"Brazil, AC",28,0.524823821850944,0.514896383202147,observed
"Brazil, AC",29,0.554204322824468,0.538439019805385,observed
"Brazil, AC",30,0.58029103539448,0.556057666182468,observed
"Brazil, AC",31,0.59694219919202,0.568822398892653,observed
"Brazil, AC",32,0.604698913505595,0.5777749302438671,observed
"Brazil, AC",33,0.61674598595164,0.587526794737596,observed
"Brazil, AC",34,0.627229706503137,0.595126698300945,observed
"Brazil, AC",35,0.637928445030211,0.602338992277487,observed
"Brazil, AC",36,0.6435057585009819,0.609531939037796,observed
"Brazil, AC",37,0.647942962215822,0.613623969309133,observed
"Brazil, AC",38,0.653489108571171,0.618671445281441,observed
"Brazil, AC",39,0.657395277495693,0.6225558949544621,observed
"Brazil, AC",40,0.660472601376959,0.6270646501077021,observed
"Brazil, AC",47,0.6956017584710931,0.655074167202207,observed
"Brazil, AC",48,0.697226500859102,0.656290964875318,observed
"Brazil, AC",49,0.6998990953343209,0.658307612478848,observed
"Brazil, AC",50,0.7046912574882811,0.6605165729625431,observed
"Brazil, AC",51,0.7199318746115481,0.6677465753750531,observed
"Brazil, AC",52,0.7309363662903471,0.676028072147368,observed
"Brazil, AC",53,0.740251149327012,0.6829705409169761,observed
"Brazil, AC",54,0.747790306299524,0.690206684072365,observed
"Brazil, AC",55,0.7609481230884251,0.6963145412798519,observed
"Brazil, AC",56,0.772127622838532,0.7056203012943161,observed
"Brazil, AC",57,0.775410840878212,0.70911308296556,observed
"Brazil, AC",58,0.780980879445924,0.713710496057478,observed
"Brazil, AC",59,0.785416427011609,0.719779289743436,observed
"Brazil, AC",60,0.792293455755663,0.724620682961732,observed
"Brazil, AC",61,0.8004348333450401,0.727587345578482,observed
